Sample	FastQC_percent_gc	featureCounts_Assigned	featureCounts_percent_assigned	FastQC_total_sequences	FastQC_percent_duplicates	FastQC_avg_sequence_length	FastQC_percent_fails
H3CGFBGXF_12h_H_3_20s000267-1-1_Triana_lane120s000267	48.0	50880924	85.7372578558	59345173.0	66.20919354	84.0	9.09090909091
H3CGFBGXF_12h_N_3_20s000262-1-1_Triana_lane120s000262	48.0	41402072	84.9303794467	48748248.0	61.5231522279	84.0	9.09090909091
H3CGFBGXF_D1_H_3_20s000268-1-1_Triana_lane120s000268	49.0	41650346	79.1763921494	52604501.0	69.9766077481	84.0	9.09090909091
H3CGFBGXF_D1_H_4_20s000269-1-1_Triana_lane120s000269	49.0	47454691	85.3733710995	55584886.0	68.0077216428	84.0	9.09090909091
H3CGFBGXF_D1_N_3_20s000263-1-1_Triana_lane120s000263	48.0	49739238	85.2624246732	58336645.0	65.0456479712	84.0	9.09090909091
H3CGFBGXF_D1_N_4_20s000264-1-1_Triana_lane120s000264	48.0	44149784	85.7752804108	51471454.0	64.1679928132	84.0	9.09090909091
H3CGFBGXF_D2_H_3_20s000270-1-1_Triana_lane120s000270	49.0	44637935	81.6156503201	54692862.0	68.6949367183	84.0	9.09090909091
H3CGFBGXF_D2_H_4_20s000271-1-1_Triana_lane120s000271	49.0	42624965	82.1531600593	51884754.0	68.0261409643	84.0	9.09090909091
H3CGFBGXF_D2_N_3_20s000265-1-1_Triana_lane120s000265	48.0	52730626	85.1656520101	61915367.0	65.8953520712	84.0	9.09090909091
H3CGFBGXF_D2_N_4_20s000266-1-1_Triana_lane120s000266	48.0	42765273	85.6437344724	49933919.0	64.0382751924	84.0	9.09090909091
H3HHMBGXF_12h_H_1_20s000257-1-1_Triana_lane120s000257	49.0	46528512	86.17225067	53994774.0	65.9131162112	84.0	9.09090909091
H3HHMBGXF_12h_N_1_20s000251-1-1_Triana_lane120s000251	48.0	42005256	86.8481789782	48366306.0	64.0443045129	84.0	9.09090909091
H3HHMBGXF_12h_N_2_20s000252-1-1_Triana_lane120s000252	48.0	37494950	85.4143196871	43897733.0	62.8103420581	84.0	9.09090909091
H3HHMBGXF_D1_H_1_20s000258-1-1_Triana_lane120s000258	49.0	39700597	84.0456970542	47236918.0	65.7750083644	84.0	9.09090909091
H3HHMBGXF_D1_H_2_20s000259-1-1_Triana_lane120s000259	49.0	39379633	84.1602896167	46791228.0	65.3326123329	84.0	9.09090909091
H3HHMBGXF_D1_N_1_20s000253-1-1_Triana_lane120s000253	48.0	34862427	85.5775909739	40737799.0	62.0622491918	84.0	9.09090909091
H3HHMBGXF_D1_N_2_20s000254-1-1_Triana_lane120s000254	48.0	37069216	86.1643768431	43021510.0	63.4682001444	84.0	18.1818181818
H3HHMBGXF_D2_H_1_20s000260-1-1_Triana_lane120s000260	49.0	43076697	81.4503790654	52887043.0	68.522258467	84.0	9.09090909091
H3HHMBGXF_D2_H_2_20s000261-1-1_Triana_lane120s000261	49.0	44498066	81.6510126615	54497874.0	68.8614836244	84.0	9.09090909091
H3HHMBGXF_D2_N_1_20s000255-1-1_Triana_lane120s000255	48.0	39664624	84.9295355457	46702980.0	62.4297340418	84.0	9.09090909091
H3HHMBGXF_D2_N_2_20s000256-1-1_Triana_lane120s000256	48.0	44086229	86.04932178	51233674.0	65.0222994497	84.0	9.09090909091
HH7WMBGXF_6h_H_1_20s001000-1-1_Triana_lane120s001000	48.0	64324271	85.309246972	75401288.0	69.0737433751	84.0	18.1818181818
HH7WMBGXF_6h_H_2_20s001001-1-1_Triana_lane120s001001	48.0	69383157	86.278632185	80417544.0	70.7944995598	84.0	18.1818181818
HH7WMBGXF_6h_H_3_20s001002-1-1_Triana_lane120s001002	48.0	59740966	86.2152003397	69292846.0	68.622617222	84.0	18.1818181818
HH7WMBGXF_6h_H_4_20s001003-1-1_Triana_lane120s001003	48.0	65151837	86.5258242156	75297563.0	70.4087771907	84.0	18.1818181818
HH7WMBGXF_6h_N_1_20s000996-1-1_Triana_lane120s000996	48.0	58721718	85.4677580351	68706281.0	67.7839469894	84.0	18.1818181818
HH7WMBGXF_6h_N_2_20s000997-1-1_Triana_lane120s000997	48.0	50395362	86.2700096154	58415853.0	65.9137345414	84.0	18.1818181818
HH7WMBGXF_6h_N_3_20s000998-1-1_Triana_lane120s000998	48.0	68592730	86.1709118128	79600794.0	70.0508486418	84.0	18.1818181818
HH7WMBGXF_6h_N_4_20s000999-1-1_Triana_lane120s000999	48.0	57296362	86.1791031284	66485215.0	68.5864293789	84.0	18.1818181818
