Gene,H_6h_1,H_6h_2,H_6h_3,H_6h_4,N_6h_1,N_6h_2,N_6h_3,N_6h_4,H_12h_1,H_12h_2,N_12h_1,N_12h_2,N_12h_3,H_D1_1,H_D1_2,H_D1_3,H_D1_4,N_D1_1,N_D1_2,N_D1_3,N_D1_4,H_D2_1,H_D2_2,H_D2_3,H_D2_4,N_D2_1,N_D2_2,N_D2_3,N_D2_4
ENSG00000186092,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187634,10,10,5,10,10,2,8,3,5,5,7,14,1,0,0,6,7,13,15,16,24,6,5,1,1,11,21,13,16
ENSG00000188976,5175,6217,4897,5764,7226,6128,8616,6983,2535,2897,4506,3773,4447,894,756,788,882,3326,3052,3802,2989,384,354,333,276,2850,2851,3697,2584
ENSG00000187961,382,311,251,253,303,241,298,241,327,236,218,224,288,212,216,257,176,184,167,265,166,270,197,164,170,190,187,192,145
ENSG00000187583,90,90,89,57,62,39,34,40,60,65,34,54,41,62,61,69,71,22,35,48,42,63,62,44,42,18,50,35,22
ENSG00000187642,0,0,0,0,1,0,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0
ENSG00000188290,694,754,593,598,454,350,467,372,436,439,407,342,447,374,331,505,302,402,334,506,453,563,555,529,499,313,385,421,307
ENSG00000187608,253,340,266,280,278,258,334,274,216,230,221,227,220,200,223,259,180,171,154,213,255,169,186,197,197,281,351,385,360
ENSG00000188157,11584,12477,9681,10428,10542,8835,10841,9172,11588,12971,9099,9437,9554,10648,12336,9888,11436,8696,8303,10763,9701,13057,11815,10673,9292,8862,10157,9011,8786
ENSG00000237330,450,466,397,460,136,112,128,114,444,509,194,208,194,239,313,408,366,261,262,344,390,92,112,104,107,219,264,315,272
ENSG00000131591,672,756,553,542,852,711,871,701,429,459,640,515,610,232,243,325,258,520,415,652,537,236,188,176,159,504,490,548,457
ENSG00000162571,16,11,15,11,16,11,16,15,21,13,10,7,13,8,10,23,9,8,6,13,2,16,11,9,6,17,16,18,8
ENSG00000186891,4,10,3,10,1,1,6,1,4,5,2,2,6,3,4,3,2,1,5,3,3,2,3,3,4,0,1,1,2
ENSG00000186827,0,1,1,1,0,1,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,7,6,0,5,0,1,0,0
ENSG00000078808,11935,13165,10932,11923,12699,10988,14735,12364,9120,10289,10297,9112,9726,7201,7615,7824,8300,8189,8683,11073,10065,8193,8318,8578,8080,10657,12633,14015,11620
ENSG00000176022,944,1160,793,1049,1556,1328,2007,1573,391,636,1199,944,1250,45,83,77,81,865,743,1007,797,11,15,13,11,992,905,1191,894
ENSG00000184163,108,97,100,82,107,92,119,99,115,100,53,74,65,154,162,270,157,72,66,107,81,394,328,311,282,110,161,169,118
ENSG00000160087,2671,2875,2517,2605,3632,3135,4523,3673,1565,1751,2585,1956,2298,789,969,1190,999,2057,1974,2652,2336,508,610,627,544,2285,2505,3056,2601
ENSG00000162572,102,93,94,86,101,94,97,73,102,93,73,80,101,81,87,152,107,85,66,88,113,89,84,79,77,116,191,118,102
ENSG00000131584,4172,3933,3448,3264,3965,3209,4175,3034,2795,2728,2911,2851,3219,2344,2560,2599,2240,2642,2392,3488,2864,3039,2422,1832,2001,2693,2823,2744,2338
ENSG00000169972,558,668,552,588,812,792,1114,869,301,315,611,512,601,145,129,163,132,511,489,742,543,148,148,119,144,429,515,587,486
ENSG00000127054,3566,3871,3419,3574,3890,3191,4754,3672,2639,2694,2788,2625,2759,2039,2114,2294,2006,2419,2379,3244,2741,2625,2292,1982,1837,2522,2859,3021,2677
ENSG00000224051,1383,1412,1264,1410,1784,1514,2086,1650,911,1104,1590,1382,1477,460,551,682,701,1120,1152,1468,1297,233,239,269,245,1641,1869,2001,1997
ENSG00000169962,12,18,17,26,21,11,23,21,7,12,20,12,17,8,13,17,10,9,14,10,12,10,10,10,8,24,26,20,13
ENSG00000107404,7553,7954,7040,7226,4801,3940,5386,4379,7070,6920,4287,4290,4323,7431,7181,8568,8236,4160,4523,5975,6115,8750,8621,7787,7825,4139,5262,5018,5042
ENSG00000162576,306,307,296,261,331,253,270,224,317,218,224,258,277,279,273,367,301,213,260,336,262,360,256,180,246,291,371,321,221
ENSG00000175756,3928,4879,4027,4347,5321,4671,6755,5511,2560,3013,4073,3284,3783,1612,1556,2146,1573,2920,2762,3847,3295,1399,1562,1530,1545,2769,3117,3999,3174
ENSG00000221978,3890,3390,3361,2633,4623,3506,5204,3652,2457,2350,2514,2676,2961,2024,2222,2589,1928,2273,2061,3314,2208,2590,2022,1755,1667,2818,3149,2660,1825
ENSG00000242485,2314,2877,2248,2718,3880,3616,5219,4093,988,1072,2277,1786,2231,346,305,393,313,1740,1603,2202,1703,148,166,184,143,1583,1679,2287,1626
ENSG00000235098,7,7,10,7,8,7,12,16,7,11,7,11,11,1,3,3,3,2,6,11,12,0,1,1,3,7,9,4,4
