Samples,H_6h_1,H_6h_2,H_6h_3,H_6h_4,N_6h_1,N_6h_2,N_6h_3,N_6h_4,H_12h_1,H_12h_2,N_12h_1,N_12h_2,N_12h_3,H_D1_1,H_D1_2,H_D1_3,H_D1_4,N_D1_1,N_D1_2,N_D1_3,N_D1_4,H_D2_1,H_D2_2,H_D2_3,H_D2_4,N_D2_1,N_D2_2,N_D2_3,N_D2_4
AHR,4.83353328686984,2.8981226123954,4.03965316659841,3.99232958232541,1.41231938625579,-0.833285397401068,0.260071414986933,0.625544531544243,3.1052247301342,2.63208983717504,0.12495017113237,-1.39726922639343,-2.22494588547036,2.45948422117125,2.16606460998844,-1.86184816341583,1.73418312239044,-1.78174870149892,-2.67914227525327,-1.84701127648739,-1.76511886180611,-0.492083966548405,-0.601231822572526,-0.488308693426176,-0.580583302244366,-2.55581562017541,-4.48012157040944,-4.69903336139468,-3.14279409500821
AR,-0.238744618335412,-0.0557822545336741,-0.0319193350004079,0.573734579306704,-0.943527510392103,-1.4989394306197,-0.915424744412022,-1.85888701957467,2.34637325421847,1.20765763121978,0.109715442398113,0.267101255875634,-0.781487017166055,1.19434834867856,0.563395427910707,0.885774656641601,1.93475567331088,-1.98389278082199,-1.20457089143624,-0.940888174459096,-0.721537268041434,0.683311984663992,1.22135314201588,1.29672768225061,0.985483400519301,-2.32572492982912,-2.03535265969966,-2.13369041104525,-0.556620595653272
ARID2,3.92467251538747,2.02132978242302,2.72304155195169,2.7886963361872,-1.65096562496137,-3.42379335988416,-2.56440885325814,-0.883302899508679,1.39172444265176,1.35803517278799,-2.87502242650062,-3.54452838013265,-2.71417383220098,3.34200300682433,2.42671429059333,-1.91231710067224,2.67901871266492,-2.46855753320687,-2.29032110212967,-2.32157777323246,-1.57136308348117,2.41573197499897,2.90248790210435,3.31503957681508,2.80022812452565,-2.42645012437344,-4.1304925557428,-4.04446033089784,-3.38996861838957
ARNT,2.53120900434548,0.556588307159338,1.25306650336579,1.33411999282757,-1.46652314281117,-4.83214174467876,-2.91533539486959,-1.44005096165768,2.90327637056591,3.05760328854033,-1.36433559746417,-1.11857991296915,-2.59657378714766,3.77568952835285,2.8548762660111,-1.66857585479991,4.45680883051426,-1.64687106991848,-3.59840021887086,-2.75891915601707,-2.35038199007445,1.59126087682823,1.7217375580593,1.91280044010865,1.73605678910014,-1.46746802395023,-3.02081453821305,-3.36418630637267,-1.6170956042757
ASCL1,0.491312489195619,-0.184396275084196,-0.498770932269653,-0.553693234391061,-0.718834163741877,-3.31382928462396,-2.5632293499071,-2.40968877601742,2.83834215836794,2.5508682528693,1.16229459272321,1.62880237415525,0.618607746719246,2.1732790554344,2.50742870484382,-0.919713344093371,2.90594657299022,1.01984350330882,-0.294593625470091,-0.792042172284956,0.818917913957336,-0.71053489342025,0.431421790091792,-0.658548946151381,-1.3648151897635,0.89671082806123,0.039628627929125,-2.32797236877131,-0.611345863857165
ATF3,-0.887873510556479,0.461906128842746,0.454693052248337,0.330765274722375,3.03524655587449,3.76520677248709,3.13931555754556,3.09382511001498,-1.52299393336051,-0.195920089452989,2.78138688192711,2.10468674675008,3.15923622891453,-4.17179819254003,-2.77397755120129,-1.19553517057104,-2.81145768689893,1.78477533366703,0.851306610843993,1.4398207494266,0.738991634962552,-3.40696542002038,-2.94669041771715,-2.93614499799254,-2.4537150174198,2.56465896911889,1.92455243840972,2.56577971017233,1.8209500019792
ATF7,2.20251437472041,2.14415598581797,1.59995053548578,1.9524874712718,-2.59038419257499,-3.67981955772666,-2.48257522562859,-1.50112183377266,2.93363905921665,2.20740999621639,-2.42255762760879,-1.87314708164199,-3.03093701523399,4.15640050986991,2.92558304086469,-0.121982548250953,2.64845485154575,-1.52545355358532,-3.89762622652884,-2.42552776099085,-2.90422360526336,1.76850507779064,1.7166304375689,2.28764796958172,1.04113196043434,-1.45497799273622,-3.5728407005976,-2.75185522860284,-3.30650806494881
BACH1,2.41172021188624,1.34945890325199,1.80029897148684,1.94300158799355,-1.97819050550575,-2.08867124993573,-1.95254688536152,-1.86317481770696,2.24856322572302,2.04591625178987,-2.20066198036929,-1.41817636567569,-1.76931163478661,1.19480386275819,0.872673924017556,0.0602337578167872,0.82006762796529,0.154046507588337,0.212773184622049,0.780137902108356,1.03729041531734,-0.072046465277576,0.314468606164095,0.64732517955483,0.370390323844905,-1.55450418157439,-0.938151635099878,-1.64565277307036,-0.535065670673353
BACH2,0.879348298527235,-0.252087310507145,1.21856824458603,1.34560228616229,-2.85271314477284,-3.35698511828117,-3.00452867716559,-2.95194901657905,1.65167714876919,1.79085493656013,-2.46237815221028,-1.7794106256006,-2.30942075013611,3.31164899432554,3.0004240289237,1.48145852394611,4.08752124154791,-2.09323588914444,-1.29009771884554,-2.04162091166552,-1.7514926776801,2.27766862394963,2.76211704574963,2.85804325904638,2.64006390771106,-3.70764037025268,-2.80145947784869,-3.45619918534512,-2.4309975110974
BATF,-1.29171355907726,-0.776225047314734,-1.21460876456306,-0.316135158488169,-0.793564782202442,-0.661776223690695,0.0806880575599628,-0.605749973683186,0.034665033767614,-0.242387288449105,0.220199873224819,-1.09799734170203,-1.00095279600799,0.982561391504643,1.01383136763578,-1.05855718231656,1.33871064449386,2.19267016621416,1.81797230272952,1.77435914526482,2.82629794611714,-0.113186900593364,0.240453867503407,0.936748514683911,0.806762688909477,-0.738206304503492,-2.53179540055603,-1.74803568415311,-0.654298802318534
