Mixture	Inmature_Enterocyte_2	Cycling_TA	Inmature_Enterocyte_1	TA	Stem_Cells	Enterocyte_1	Enteroendocrine_cells	Secretory_TA	Goblet_Cells	P-value	Correlation	RMSE	Absolute score (sig.score)
H_6h_1	0.0429666427170286	0.941551258981295	0.604718338545496	0	0.333588980034965	0	0.000338296824749683	0	0.0789693226015689	0	0.54155386666147	0.911630954607392	2.0021328397051
H_6h_2	0	0.964449112813617	0.552063775429163	0	0.395003389535608	0	0.000439991590957742	0	0.0582784347036383	0	0.561457275573417	0.912354373503216	1.97023470407298
H_6h_3	0.0269560603021387	0.958297161432709	0.571095375914725	0	0.360542249183163	0	0.000342142807131646	0	0.0568714817149856	0	0.552607631765813	0.913446113243445	1.97410447135485
H_6h_4	0	0.960217020115864	0.559713934172573	0	0.372094777726424	0	0.000343195436747146	0	0.0653407138317143	0	0.564005898254602	0.910310494561908	1.95770964128332
N_6h_1	0	0.909007615235299	0.553324166005188	0	0.487682590685829	0	0.000352194927710078	0.0319255198623847	0.0529670526527201	0	0.542895328451067	0.916717907218489	2.03525913936913
N_6h_2	0	0.868293905018522	0.562005694831614	0	0.496564555178129	0	0.000344704238940708	0.0532644207502081	0.0442669954455203	0	0.559112451551582	0.91373305969819	2.02474027546293
N_6h_3	0	0.858020851141916	0.549043883054594	0	0.501081538137861	0	0.00038711145938462	0.0674124330357732	0.0456936564360221	0	0.551039191323037	0.915218032475347	2.02163947326555
N_6h_4	0	0.913636925712861	0.563027577631436	0	0.466591843859059	0	0.000454884839261718	0.0447033747152445	0.0533032649023797	0	0.545212185250845	0.915680512786513	2.04171787166024
H_12h_1	0.123371209093608	0.60830721766408	0.625406454057578	0	0.407067195419545	0	0.00041375406637196	0	0.11090143066141	0	0.529220801328319	0.905503296882974	1.87546726096259
H_12h_2	0.042005969393927	0.620307538807145	0.694656470845313	0	0.383674261038614	0	0.00036864104621073	0	0.11437787936943	0	0.536374616382885	0.900650811492932	1.85539076050064
N_12h_1	0	0.746801129420347	0.580525931287041	0	0.597167031737163	0	0.00145560962902509	0	0.0887409019702223	0	0.500816795491972	0.919571959309114	2.0146906040438
N_12h_2	0	0.727976082425772	0.643849392300905	0	0.515365852835421	0	0.00148746785418337	0	0.116381815485606	0	0.501559842359258	0.913712931784106	2.00506061090189
N_12h_3	0	0.665301698630534	0.591567231113278	0	0.653747858684498	0	0.000382181619645488	0	0.100308795634411	0	0.499111386624397	0.917899428492329	2.01130776568237
H_D1_1	0.166944948105543	0.30794678514771	0.771407314796288	0	0.400234327149065	0	0.000544910809149252	0	0.11969184766583	0	0.410541248262903	0.926697703044566	1.76677013367359
H_D1_2	0.0918747252303012	0.273866333190132	0.904266783237533	0	0.409329790322847	0	0.000390640296846455	0	0.113260105790004	0	0.418750739141505	0.922469018325962	1.79298837806766
H_D1_3	0	0.266844022937881	0.960069349746788	0	0.325868040579436	0	0.00118747686486478	0	0.182343588473099	0	0.505103085721842	0.887259878681181	1.73631247860207
H_D1_4	0.0331929078560206	0.265702097174766	0.978063359158732	0	0.36632853116477	0	0.00107875884135852	0	0.119270320692788	0	0.420318766670983	0.919575047207294	1.76363597488844
N_D1_1	0	1.06526085741368	0.627292770093788	0	0.302212882978001	0	0.00180196544138651	0	0.114913355381387	0	0.508053274936964	0.915173853280677	2.11148183130824
N_D1_2	0	0.8940233766949	0.674120447299199	0	0.384745795316953	0	0.000928348526578333	0	0.0967977652118477	0	0.519961686442038	0.912263300934814	2.05061573304948
N_D1_3	0	0.878235340684239	0.673714924895723	0	0.409386519765468	0	0.000885172325484607	0	0.103709286373271	0	0.521281645159271	0.91131420416313	2.06593124404419
N_D1_4	0.0203470209463084	0.823832846879158	0.718620052848205	0	0.371916625123514	0	0.00113084347213543	0	0.0778098659799919	0	0.50274172782752	0.915970197003477	2.01365725524931
H_D2_1	0	0.194477984666367	1.17059246438362	0	0	0	0.00329522476176395	0.00170905910275774	0.266088403574867	0	0.352848913911951	0.936221027783711	1.63616313648938
H_D2_2	0.0275147721428948	0.155719144824675	1.17654647291533	0	0	0	0.0058640409084828	0.00435667771783149	0.259055831891532	0	0.369944237427892	0.929117452773865	1.62905694040075
H_D2_3	0.0165694492309514	0.181219255151514	1.15385311822661	0	0	0	0.00410355184707246	0.00412985596808575	0.248735498935533	0	0.370739673116643	0.92870071385982	1.60861072935976
H_D2_4	0	0.198675742273068	1.11900919958059	0	0	0	0.00690685807033492	0.00614556736816848	0.25626563298678	0	0.377660915219776	0.9258604558032	1.58700300027895
N_D2_1	0	0.666138066020417	1.06094550072038	0	0.32789471814386	0	0.00252394676964135	0	0.122183676937495	0	0.417279312642664	0.925358295838388	2.1796859085918
N_D2_2	0	0.438687668647802	1.09435331748326	0	0.44821501377502	0	0.0029781579527028	0	0.114562260537228	0	0.460047973496431	0.911967796868345	2.09879641839601
N_D2_3	0	0.476680041079074	1.07879893769652	0	0.465023345126124	0	0.00219243863166837	0.00453694321592902	0.0699789310585093	0	0.42464940334149	0.924700285918892	2.09721063680783
N_D2_4	0	0.395444418628951	1.08870540750578	0	0.509418638655799	0	0.00268430341431095	0	0.0981850224644022	0	0.463405670911704	0.912271464635359	2.09443779066924
