Gene	H_6h_1	H_6h_2	H_6h_3	H_6h_4	N_6h_1	N_6h_2	N_6h_3	N_6h_4	H_12h_1	H_12h_2	N_12h_1	N_12h_2	N_12h_3	H_D1_1	H_D1_2	H_D1_3	H_D1_4	N_D1_1	N_D1_2	N_D1_3	N_D1_4	H_D2_1	H_D2_2	H_D2_3	H_D2_4	N_D2_1	N_D2_2	N_D2_3	N_D2_4
TSPAN6	50.823	54.762	46.901	55.551	58.433	58.11	59.012	58.649	51.661	55.61	61.948	56.222	58.326	40.129	43.807	48.683	51.67	59.778	60.699	58.669	59.704	28.475	29.149	28.118	30.502	49.695	51.6	59.814	55.352
TNMD	0.307	0.239	0.129	0.271	0.507	0.567	0.74	0.71	0.236	0.281	0.521	0.611	0.634	0.138	0.224	0.325	0.209	0.75	1.118	1.011	0.669	0.13	0.05	0	0.026	0.574	0.812	0.911	0.917
DPM1	52.63	58.245	54.137	57.277	72.534	74.539	73.302	73.854	42.075	48.165	57.601	52.262	59.436	31.135	32.744	43.966	31.791	59.34	61.493	59.372	57.549	21.226	19.324	24.183	21.847	54.426	53.2	60.415	52.881
SCYL3	17.117	15.794	16.28	16.549	19.265	17.758	18.297	15.838	12.75	15.688	18.688	17.819	18.174	5.784	8.437	7.319	9.196	20.749	20.478	19.893	19.744	4.261	4.61	4.561	4.591	19.254	18.759	18.578	19.359
C1orf112	12.582	14.331	13.64	14.315	15.453	17.344	16.399	15.397	9.208	9.02	12.832	12.228	13.314	4.4	3.939	3.09	3.205	15.499	14.417	14.53	12.288	2.208	1.36	1.454	1.636	7.494	6.253	7.85	6.827
FUCA2	82.142	85.603	82.562	85.484	112.322	122.387	116.013	112.403	68.921	75.506	113.068	113.113	111.396	47.021	46.769	47.951	49.278	110.087	99.33	103.621	91.315	29.073	27.814	27.742	29.42	96.299	88.897	106.621	94.631
GCLC	226.991	214.929	219.445	222.898	156.24	145.853	139.299	145.634	175.526	191.172	127.722	147.294	147.11	142.363	152.543	116.964	124.425	165.678	167.326	164.048	169.227	90.569	94.679	106.682	97.811	182.286	196.209	197.854	182.002
NFYA	53.483	56.337	49.153	53.334	72.065	73.776	77.293	75.101	44.389	47.604	65.149	54.824	62.553	38.69	37.381	29.031	38.828	48.497	45.399	43.611	37.135	30.606	34.062	36.087	31.161	48.847	42.688	45.026	43.864
STPG1	20.544	18.943	21.319	19.628	14.045	15.339	13.341	14.379	25.122	22.443	15.331	17.091	15.506	28.81	29.391	32.446	32.976	20.718	22.655	22.839	26.359	27.592	29.729	30.148	29.816	21.962	27.203	25.143	28.275
NIPAL3	58.444	57.848	58.474	59.291	53.945	51.835	52.688	50.97	68.189	67.112	62.182	61.841	59.304	55.379	64.202	59.878	64.163	51.497	54.284	54.251	56.583	25.955	27.134	30.749	27.256	58.994	59.306	60.684	55.913
LAS1L	41.242	45.728	44.594	45.771	57.945	59.113	61.796	58.438	25.075	25.507	47.112	45.303	47.839	8.718	8.242	7.698	6.967	43.06	43.222	42.666	34.262	2.884	2.922	2.782	2.375	32.273	31.265	36.12	29.345
ENPP4	49.63	47.43	47.529	47.04	43.505	40.2	41.085	43.425	47.671	54.596	48.856	51.097	50.164	44.834	47.467	38.139	52.506	45.404	52.401	49.678	56.954	20.265	23.682	26.313	22.48	59.568	62.137	60.083	61.542
SEMA3F	5.899	7.412	5.482	5.584	7.774	6.667	7.885	6.911	5.147	4.575	8.615	7.075	7.344	2.076	3.213	2.575	2.694	4.906	4.09	4.264	3.79	1.507	2.141	1.804	1.372	4.759	3.988	4.349	4.076
CFTR	28.591	28.296	25.749	27.784	40.445	35.624	44.706	46.132	9.563	9.819	24.545	22.506	20.763	3.044	2.403	2.358	2.763	22.53	23.479	23.191	20.166	0.468	0.655	0.576	0.712	26.611	17.799	22.927	20.455
ANKIB1	76.959	76.171	74.422	77.988	75.839	70.508	72.948	77.232	65.757	72.938	74.858	71.536	71.138	38.995	46.294	30.223	45.725	71.59	69.319	70.605	67.954	24.448	23.355	26.639	25.409	85.714	75.825	79.614	79.577
CYP51A1	46.101	44.455	49.005	41.591	32.765	34.23	27.615	31.273	61.909	50.733	32.275	33.832	33.865	69.908	72.332	48.358	73.336	41.466	37.72	45.854	52.718	94.155	109.316	101.77	104.381	41.927	45.199	41.919	48.831
KRIT1	6.172	5.837	6.239	5.601	6.065	6.362	6.164	6.796	4.699	4.942	5.7	5.503	5.996	2.518	3.101	3.686	3.228	6.031	5.237	5.517	4.732	1.507	1.335	1.253	1.583	4.978	5.194	5.178	4.763
RAD52	9.923	8.939	9.45	7.276	11.059	9.892	10.702	10.213	7.91	6.927	8.459	9.026	8.823	6.033	6.873	7.156	4.761	7.843	7.12	7.342	7.036	5.274	3.855	4.21	3.219	10.366	8.272	8.533	7.642
BAD	18.635	21.409	21.356	21.489	18.439	20.394	18.523	18.756	22.997	22.831	21.5	21.429	22.506	23.663	22.686	30.413	22.293	20.155	19.36	19.717	23.857	24.89	24.665	26.414	26.729	17.23	18.784	20.152	24.072
LAP3	74.266	80.274	73.905	79.951	100.549	102.254	108.529	108.371	56.549	63.832	98.492	92.79	95.256	31.052	31.375	32.907	31.373	86.276	81.853	86.981	76.203	19.668	18.114	17.292	17.863	86.535	83.333	95.541	82.812
