Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
H3CGFBGXF_12h_H_3_20s000267-1-1_Triana_lane120s000267	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	59345173.0	pass	warn	warn	48.0	33.79080646	H3CGFBGXF_12h_H_3_20s000267-1-1_Triana_lane120s000267.fastq.gz	pass	pass
H3CGFBGXF_12h_N_3_20s000262-1-1_Triana_lane120s000262	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	48748248.0	pass	warn	warn	48.0	38.4768477721	H3CGFBGXF_12h_N_3_20s000262-1-1_Triana_lane120s000262.fastq.gz	pass	pass
H3CGFBGXF_D1_H_3_20s000268-1-1_Triana_lane120s000268	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	52604501.0	pass	warn	warn	49.0	30.0233922519	H3CGFBGXF_D1_H_3_20s000268-1-1_Triana_lane120s000268.fastq.gz	pass	pass
H3CGFBGXF_D1_H_4_20s000269-1-1_Triana_lane120s000269	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	55584886.0	pass	warn	warn	49.0	31.9922783572	H3CGFBGXF_D1_H_4_20s000269-1-1_Triana_lane120s000269.fastq.gz	pass	pass
H3CGFBGXF_D1_N_3_20s000263-1-1_Triana_lane120s000263	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	58336645.0	pass	warn	warn	48.0	34.9543520288	H3CGFBGXF_D1_N_3_20s000263-1-1_Triana_lane120s000263.fastq.gz	pass	pass
H3CGFBGXF_D1_N_4_20s000264-1-1_Triana_lane120s000264	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	51471454.0	pass	warn	warn	48.0	35.8320071868	H3CGFBGXF_D1_N_4_20s000264-1-1_Triana_lane120s000264.fastq.gz	pass	pass
H3CGFBGXF_D2_H_3_20s000270-1-1_Triana_lane120s000270	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	54692862.0	pass	warn	warn	49.0	31.3050632817	H3CGFBGXF_D2_H_3_20s000270-1-1_Triana_lane120s000270.fastq.gz	pass	pass
H3CGFBGXF_D2_H_4_20s000271-1-1_Triana_lane120s000271	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	51884754.0	pass	warn	warn	49.0	31.9738590357	H3CGFBGXF_D2_H_4_20s000271-1-1_Triana_lane120s000271.fastq.gz	pass	pass
H3CGFBGXF_D2_N_3_20s000265-1-1_Triana_lane120s000265	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	61915367.0	pass	warn	warn	48.0	34.1046479288	H3CGFBGXF_D2_N_3_20s000265-1-1_Triana_lane120s000265.fastq.gz	pass	pass
H3CGFBGXF_D2_N_4_20s000266-1-1_Triana_lane120s000266	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	49933919.0	pass	warn	warn	48.0	35.9617248076	H3CGFBGXF_D2_N_4_20s000266-1-1_Triana_lane120s000266.fastq.gz	pass	pass
H3HHMBGXF_12h_H_1_20s000257-1-1_Triana_lane120s000257	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	53994774.0	pass	warn	warn	49.0	34.0868837888	H3HHMBGXF_12h_H_1_20s000257-1-1_Triana_lane120s000257.fastq.gz	pass	pass
H3HHMBGXF_12h_N_1_20s000251-1-1_Triana_lane120s000251	pass	0.0	fail	84.0	Sanger / Illumina 1.9	pass	pass	84.0	Conventional base calls	pass	pass	48366306.0	pass	warn	warn	48.0	35.9556954871	H3HHMBGXF_12h_N_1_20s000251-1-1_Triana_lane120s000251.fastq.gz	pass	pass
