Sample	Unassigned_Ambiguity	Unassigned_Singleton	Unassigned_MappingQuality	percent_assigned	Unassigned_Duplicate	Unassigned_Chimera	Unassigned_Unmapped	Assigned	Unassigned_Read_Type	Unassigned_MultiMapping	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_FragmentLength	Unassigned_NoFeatures	Total	Unassigned_NonSplit
H3CGFBGXF_12h_H_3_20s000267-1-1_Triana_lane120s000267	4082581	0	0	85.7372578558	0	0	2062334	50880924	0	0	0	0	0	2319334	59345173	0
H3CGFBGXF_12h_N_3_20s000262-1-1_Triana_lane120s000262	3328462	0	0	84.9303794467	0	0	2016361	41402072	0	0	0	0	0	2001353	48748248	0
H3CGFBGXF_D1_H_3_20s000268-1-1_Triana_lane120s000268	3773160	0	0	79.1763921494	0	0	2208926	41650346	0	0	0	0	0	4972069	52604501	0
H3CGFBGXF_D1_H_4_20s000269-1-1_Triana_lane120s000269	3903836	0	0	85.3733710995	0	0	1773086	47454691	0	0	0	0	0	2453273	55584886	0
H3CGFBGXF_D1_N_3_20s000263-1-1_Triana_lane120s000263	4023891	0	0	85.2624246732	0	0	2104490	49739238	0	0	0	0	0	2469026	58336645	0
H3CGFBGXF_D1_N_4_20s000264-1-1_Triana_lane120s000264	3585819	0	0	85.7752804108	0	0	1786322	44149784	0	0	0	0	0	1949529	51471454	0
H3CGFBGXF_D2_H_3_20s000270-1-1_Triana_lane120s000270	4043750	0	0	81.6156503201	0	0	2512001	44637935	0	0	0	0	0	3499176	54692862	0
H3CGFBGXF_D2_H_4_20s000271-1-1_Triana_lane120s000271	3881917	0	0	82.1531600593	0	0	2218457	42624965	0	0	0	0	0	3159415	51884754	0
H3CGFBGXF_D2_N_3_20s000265-1-1_Triana_lane120s000265	4192036	0	0	85.1656520101	0	0	2406931	52730626	0	0	0	0	0	2585774	61915367	0
H3CGFBGXF_D2_N_4_20s000266-1-1_Triana_lane120s000266	3409881	0	0	85.6437344724	0	0	1752195	42765273	0	0	0	0	0	2006570	49933919	0
H3HHMBGXF_12h_H_1_20s000257-1-1_Triana_lane120s000257	3770684	0	0	86.17225067	0	0	1459540	46528512	0	0	0	0	0	2236038	53994774	0
H3HHMBGXF_12h_N_1_20s000251-1-1_Triana_lane120s000251	3406307	0	0	86.8481789782	0	0	1196589	42005256	0	0	0	0	0	1758154	48366306	0
H3HHMBGXF_12h_N_2_20s000252-1-1_Triana_lane120s000252	3016783	0	0	85.4143196871	0	0	1575961	37494950	0	0	0	0	0	1810039	43897733	0
H3HHMBGXF_D1_H_1_20s000258-1-1_Triana_lane120s000258	3357787	0	0	84.0456970542	0	0	1663331	39700597	0	0	0	0	0	2515203	47236918	0
H3HHMBGXF_D1_H_2_20s000259-1-1_Triana_lane120s000259	3308476	0	0	84.1602896167	0	0	1525768	39379633	0	0	0	0	0	2577351	46791228	0
H3HHMBGXF_D1_N_1_20s000253-1-1_Triana_lane120s000253	2805023	0	0	85.5775909739	0	0	1324578	34862427	0	0	0	0	0	1745771	40737799	0
H3HHMBGXF_D1_N_2_20s000254-1-1_Triana_lane120s000254	2974439	0	0	86.1643768431	0	0	1304617	37069216	0	0	0	0	0	1673238	43021510	0
H3HHMBGXF_D2_H_1_20s000260-1-1_Triana_lane120s000260	3968571	0	0	81.4503790654	0	0	1842654	43076697	0	0	0	0	0	3999121	52887043	0
H3HHMBGXF_D2_H_2_20s000261-1-1_Triana_lane120s000261	4044659	0	0	81.6510126615	0	0	2126824	44498066	0	0	0	0	0	3828325	54497874	0
H3HHMBGXF_D2_N_1_20s000255-1-1_Triana_lane120s000255	3117756	0	0	84.9295355457	0	0	1793622	39664624	0	0	0	0	0	2126978	46702980	0
H3HHMBGXF_D2_N_2_20s000256-1-1_Triana_lane120s000256	3528269	0	0	86.04932178	0	0	1556004	44086229	0	0	0	0	0	2063172	51233674	0
HH7WMBGXF_6h_H_1_20s001000-1-1_Triana_lane120s001000	5068158	0	0	85.309246972	0	0	2675742	64324271	0	0	0	0	0	3333117	75401288	0
HH7WMBGXF_6h_H_2_20s001001-1-1_Triana_lane120s001001	5552752	0	0	86.278632185	0	0	2379351	69383157	0	0	0	0	0	3102284	80417544	0
HH7WMBGXF_6h_H_3_20s001002-1-1_Triana_lane120s001002	4786280	0	0	86.2152003397	0	0	2180440	59740966	0	0	0	0	0	2585160	69292846	0
HH7WMBGXF_6h_H_4_20s001003-1-1_Triana_lane120s001003	5180161	0	0	86.5258242156	0	0	2325596	65151837	0	0	0	0	0	2639969	75297563	0
HH7WMBGXF_6h_N_1_20s000996-1-1_Triana_lane120s000996	4734007	0	0	85.4677580351	0	0	1893481	58721718	0	0	0	0	0	3357075	68706281	0
HH7WMBGXF_6h_N_2_20s000997-1-1_Triana_lane120s000997	4149842	0	0	86.2700096154	0	0	1785590	50395362	0	0	0	0	0	2085059	58415853	0
HH7WMBGXF_6h_N_3_20s000998-1-1_Triana_lane120s000998	5616726	0	0	86.1709118128	0	0	2178664	68592730	0	0	0	0	0	3212674	79600794	0
HH7WMBGXF_6h_N_4_20s000999-1-1_Triana_lane120s000999	4646458	0	0	86.1791031284	0	0	1926134	57296362	0	0	0	0	0	2616261	66485215	0
