Module	Section	Sample Name	Source
FastQC	all_sections	H3CGFBGXF_D2_H_4_20s000271-1-1_Triana_lane120s000271	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3CGFBGXF_D2_H_4_20s000271_1_1_Triana_lane120s000271_fastqc.zip
FastQC	all_sections	H3CGFBGXF_D1_N_4_20s000264-1-1_Triana_lane120s000264	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3CGFBGXF_D1_N_4_20s000264_1_1_Triana_lane120s000264_fastqc.zip
FastQC	all_sections	HH7WMBGXF_6h_N_3_20s000998-1-1_Triana_lane120s000998	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/HH7WMBGXF_6h_N_3_20s000998_1_1_Triana_lane120s000998_fastqc.zip
FastQC	all_sections	H3HHMBGXF_D2_H_2_20s000261-1-1_Triana_lane120s000261	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3HHMBGXF_D2_H_2_20s000261_1_1_Triana_lane120s000261_fastqc.zip
FastQC	all_sections	HH7WMBGXF_6h_H_3_20s001002-1-1_Triana_lane120s001002	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/HH7WMBGXF_6h_H_3_20s001002_1_1_Triana_lane120s001002_fastqc.zip
FastQC	all_sections	H3CGFBGXF_D1_N_3_20s000263-1-1_Triana_lane120s000263	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3CGFBGXF_D1_N_3_20s000263_1_1_Triana_lane120s000263_fastqc.zip
FastQC	all_sections	H3CGFBGXF_12h_H_3_20s000267-1-1_Triana_lane120s000267	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3CGFBGXF_12h_H_3_20s000267_1_1_Triana_lane120s000267_fastqc.zip
FastQC	all_sections	H3HHMBGXF_D1_N_1_20s000253-1-1_Triana_lane120s000253	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3HHMBGXF_D1_N_1_20s000253_1_1_Triana_lane120s000253_fastqc.zip
FastQC	all_sections	H3HHMBGXF_D1_N_2_20s000254-1-1_Triana_lane120s000254	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3HHMBGXF_D1_N_2_20s000254_1_1_Triana_lane120s000254_fastqc.zip
FastQC	all_sections	H3CGFBGXF_12h_N_3_20s000262-1-1_Triana_lane120s000262	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3CGFBGXF_12h_N_3_20s000262_1_1_Triana_lane120s000262_fastqc.zip
FastQC	all_sections	H3CGFBGXF_D1_H_3_20s000268-1-1_Triana_lane120s000268	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3CGFBGXF_D1_H_3_20s000268_1_1_Triana_lane120s000268_fastqc.zip
FastQC	all_sections	HH7WMBGXF_6h_N_2_20s000997-1-1_Triana_lane120s000997	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/HH7WMBGXF_6h_N_2_20s000997_1_1_Triana_lane120s000997_fastqc.zip
FastQC	all_sections	H3CGFBGXF_D2_H_3_20s000270-1-1_Triana_lane120s000270	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3CGFBGXF_D2_H_3_20s000270_1_1_Triana_lane120s000270_fastqc.zip
FastQC	all_sections	H3HHMBGXF_D2_N_2_20s000256-1-1_Triana_lane120s000256	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3HHMBGXF_D2_N_2_20s000256_1_1_Triana_lane120s000256_fastqc.zip
FastQC	all_sections	H3CGFBGXF_D2_N_3_20s000265-1-1_Triana_lane120s000265	/icgc/dkfzlsdf/analysis/B080/sharma/boulantLab/bulk_hypoxia/analysis/FastQC/H3CGFBGXF_D2_N_3_20s000265_1_1_Triana_lane120s000265_fastqc.zip
